Subject,Session,Version,Condition,Set,Run,Trial,Onset,Task,Sentence,Sentence_Type,Probe_or_Question,Response,RT,Response_Rate,Accuracy_Strict,Accuracy_Lax
864,FED20220203a_3T2,6,S,1,1,1,16.7613468449999,ButtonPress,"Yes, I was held up a bit trying to make a left turn.",TwoSentences,,1.0,0.616434583000228,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,2,25.7286907669986,ButtonPress,"Yes, this conformity represents a desperate attempt to stabilize a hopelessly unstable environment.",TwoSentences,,1.0,0.435773928998969,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,3,34.7304797109973,ButtonPress,"Yes, the reporter nodded as he moved up beside him at the bar.",TwoSentences,,1.0,0.467579139000009,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,4,41.114321735,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,1.32737867399919,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,5,50.1827116169989,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.884338976000436,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,6,59.1177169109978,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,1.20913224200194,1.0,False,False
864,FED20220203a_3T2,6,N,1,1,7,68.1695415309987,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,1.37822452399996,1.0,False,False
864,FED20220203a_3T2,6,N,1,1,8,77.1196458869999,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.87885798500065,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,9,86.105828533,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.778021497000736,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,10,97.7396069869974,ButtonPress,"Yes, in the starlight he could see the trees stripped of their leaves.",TwoSentences,,1.0,0.467986488998577,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,11,106.725619536999,ButtonPress,"Yes, Winston took the clothesbrush out of the closet and went to work.",TwoSentences,,1.0,0.403306227999565,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,12,115.726965734,ButtonPress,"No, he seemed to be looking at a point above the little window.",TwoSentences,,1.0,0.434148501000891,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,13,136.113789423998,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,1.15618320700014,1.0,True,True
