Regression Term,Beta,SE,p.value,pLabel
(Intercept),0.57,0.11,1.47e-05,***
SentTypeTwoSentences,-0.01,0.04,0.74,
SentTypeTwoSentences:SentTaskComprehensionQ,0.59,0.1,4.85e-08,***
SentTypeOneSentence:SentTaskMemoryAll,0.06,0.07,0.387,
SentTypeOneSentence:SentTaskMemoryLast,0.13,0.1,0.189,
SentTypeTwoSentences:SentTaskSentiment,0.72,0.12,2.5e-07,***
SentTypeOneSentence:SentTaskButtonPress:EffectRef,-0.37,0.06,1.13e-07,***
SentTypeTwoSentences:SentTaskButtonPress:EffectRef,-0.52,0.1,3.82e-06,***
SentTypeTwoSentences:SentTaskComprehensionQ:EffectRef,-1.14,0.09,2.66e-16,***
SentTypeOneSentence:SentTaskMemoryAll:EffectRef,-0.5,0.06,3.24e-11,***
SentTypeOneSentence:SentTaskMemoryLast:EffectRef,-0.48,0.06,1.42e-10,***
SentTypeTwoSentences:SentTaskSentiment:EffectRef,-1.21,0.13,5.16e-12,***
