"effect","group","term","estimate","std.error","statistic","df","p.value"
"fixed",NA,"(Intercept)",0.5,0.01,34.77,49.16,0
"fixed",NA,"TypeTwoSentences",0.08,0.01,6.33,8469.53,0
"fixed",NA,"TaskMemoryAll",0.43,0.02,22.54,56.72,0
"fixed",NA,"TaskMemoryLast",0.26,0.02,11.18,52.06,0
"fixed",NA,"TaskSentiment",0.23,0.11,2.17,19.36,0.043
"fixed",NA,"TaskComprehensionQ",1.3,0.04,31.14,54.56,0
"fixed",NA,"ConditionS",-0.02,0.01,-1.5,177.44,0.135
"fixed",NA,"TaskMemoryAll:ConditionS",0.03,0.01,2.48,7597.79,0.013
"fixed",NA,"TaskMemoryLast:ConditionS",-0.02,0.01,-1.63,9065.17,0.102
"ran_pars","Subject","sd__(Intercept)",0.09,NA,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).ConditionS",0.02,NA,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskMemoryAll",0.02,NA,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskMemoryLast",0.12,NA,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskSentiment",-0.19,NA,NA,NA,NA
"ran_pars","Subject","cor__(Intercept).TaskComprehensionQ",0.03,NA,NA,NA,NA
"ran_pars","Subject","sd__ConditionS",0.04,NA,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskMemoryAll",0.12,NA,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskMemoryLast",-0.02,NA,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskSentiment",0.53,NA,NA,NA,NA
"ran_pars","Subject","cor__ConditionS.TaskComprehensionQ",0.11,NA,NA,NA,NA
"ran_pars","Subject","sd__TaskMemoryAll",0.13,NA,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryAll.TaskMemoryLast",0.7,NA,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryAll.TaskSentiment",-0.39,NA,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryAll.TaskComprehensionQ",0.32,NA,NA,NA,NA
"ran_pars","Subject","sd__TaskMemoryLast",0.14,NA,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryLast.TaskSentiment",-0.31,NA,NA,NA,NA
"ran_pars","Subject","cor__TaskMemoryLast.TaskComprehensionQ",0.41,NA,NA,NA,NA
"ran_pars","Subject","sd__TaskSentiment",0.5,NA,NA,NA,NA
"ran_pars","Subject","cor__TaskSentiment.TaskComprehensionQ",0.03,NA,NA,NA,NA
"ran_pars","Subject","sd__TaskComprehensionQ",0.27,NA,NA,NA,NA
"ran_pars","Set","sd__(Intercept)",0.01,NA,NA,NA,NA
"ran_pars","Residual","sd__Observation",0.29,NA,NA,NA,NA
